sy_snum,sy_pnum,pl_orbper,pl_radj,pl_massj,pl_orbeccen,st_teff,st_rad,st_mass
2,1,1.74301433,1.510,,,5529.00,0.94,
2,1,1.74299350,1.460,3.57000,,5598.00,0.90,1.00
2,1,1.74299700,,,,5696.00,,
2,1,1.74299350,1.466,3.47000,0.014300,5625.00,0.91,0.96
2,1,1.74299350,1.470,3.62000,,5696.00,0.91,1.02
2,1,1.74299673,,,,5529.00,0.94,0.97
2,1,1.74299609,1.475,,,5575.00,,
2,1,1.74299906,,,,,,
2,1,1.74299705,,,,5696.00,,
1,2,9.24318000,1.000,4.14000,,,1.16,1.10
1,2,9.24285000,0.840,4.24000,0.562000,5880.00,1.02,1.14
1,2,9.24285000,1.160,5.06000,,5880.00,1.34,1.11
1,2,9.24323029,1.374,,,5880.00,1.30,
1,2,9.24285000,,4.30000,0.590000,,,1.14
1,2,9.24285000,0.840,4.23000,0.575000,5880.00,1.02,1.14
1,2,1675.00000000,,,0.600000,,,1.14
1,1,2.72474000,1.300,2.22000,0.390000,6200.00,1.95,1.29
1,1,2.72474000,1.300,2.26000,0.000000,6200.00,1.95,1.29
1,1,9.75598000,0.435,0.03800,0.077000,5939.00,1.14,1.10
1,1,3.63130000,1.180,3.06000,,5900.00,1.74,1.12
1,1,3.63130000,1.050,2.80000,0.160000,5900.00,1.61,1.14
1,1,3.63130000,1.050,3.09000,0.160000,5900.00,1.61,1.14
1,2,5.11340000,0.330,0.01800,0.000000,4950.00,0.86,0.91
1,2,11.75900000,0.440,0.08800,0.000000,4950.00,0.86,0.91
1,1,4.86069000,1.080,0.27000,0.000000,6040.00,1.19,1.09
1,1,4.86069000,1.080,0.29300,0.220000,6040.00,1.19,1.09
1,1,4.20474000,1.260,0.52000,0.000000,5590.00,1.79,1.09
1,1,4.20474000,1.260,0.58000,0.410000,5590.00,1.79,1.09
1,1,3.57532000,1.007,10.39000,0.065000,5900.00,1.08,1.05
1,1,3.57532000,1.007,10.30000,0.034000,5900.00,1.08,1.05
1,1,5.20851000,0.955,0.48100,0.071000,5150.00,1.78,1.01
1,1,5.20851000,0.955,0.48400,0.047000,5150.00,1.78,1.01
1,1,2.85057000,0.900,0.85000,0.082000,5260.00,0.90,0.97
1,1,2.85056150,,,,5268.00,1.08,0.90
1,1,2.85057000,0.900,0.84000,0.120000,5260.00,0.90,0.97
1,1,4.25679940,0.993,21.23000,0.008000,,1.54,1.36
1,1,,,,,6558.00,1.44,1.41
1,1,4.25679940,1.037,21.96000,,6740.00,1.57,1.40
1,1,4.25679940,1.010,21.44000,0.016000,6740.00,1.56,1.37
1,1,4.25680000,1.010,21.66000,0.000000,6740.00,1.56,1.37
1,1,9.06005000,1.009,2.90000,0.007000,5650.00,0.91,0.98
1,1,4.62941000,1.460,0.84000,0.020000,5700.00,2.15,1.25
1,1,3.22748000,1.680,1.10000,0.000000,6390.00,1.65,1.01
1,1,5.61653100,1.410,0.68000,0.000000,6730.00,1.52,1.32
1,1,9.20205000,1.190,0.72000,0.000000,6190.00,1.17,1.16
