pl_name,hostname,No.of stars,No.of Planets,No.of Moons,Discovery year,Discovery facility,Discovery Instrument,Orbital Period,Stellar effective Temparature,Stellar radius,Stellar mass,Stellar surface gravity,distance,Gaia Magnitude,releasedate
Kepler-1322 b,Kepler-1322,1,2,0,2016,Kepler,Kepler CCD Array,0.96286738,5693.0,0.8,0.88,4.57,1350.32,15.7753,2015-08-25
Kepler-1322 c,Kepler-1322,1,2,0,2021,Kepler,Kepler CCD Array,6.460056,5720.0,0.85,0.96,4.56,1350.32,15.7753,2013-10-28
Kepler-1323 b,Kepler-1323,1,1,0,2016,Kepler,Kepler CCD Array,0.92990668,6169.0,1.4,1.18,4.21,465.417,12.344,2016-05-10
Kepler-1324 b,Kepler-1324,1,1,0,2016,Kepler,Kepler CCD Array,4.11584445,4572.0,0.73,0.72,4.56,481.667,15.1336,2019-04-18
Kepler-1325 b,Kepler-1325,1,1,0,2016,Kepler,Kepler CCD Array,33.8786838,5550.0,0.91,0.93,4.5,973.368,15.1289,2016-05-10
Kepler-1326 b,Kepler-1326,1,1,0,2016,Kepler,Kepler CCD Array,42.3514267,6725.0,1.74,1.45,4.12,698.326,12.7411,2016-05-10
Kepler-1327 b,Kepler-1327,1,1,0,2016,Kepler,Kepler CCD Array,14.88811,6146.0,1.14,1.06,4.35,678.069,13.8837,2013-10-28
Kepler-1328 b,Kepler-1328,1,1,0,2016,Kepler,Kepler CCD Array,4.52158888,5941.0,0.91,1.0,4.52,813.543,13.8033,2014-11-18
Kepler-1329 b,Kepler-1329,1,1,0,2016,Kepler,Kepler CCD Array,9.33646594,4442.0,0.65,0.64,4.62,588.037,15.8498,2014-11-21
Kepler-133 b,Kepler-133,1,2,0,2014,Kepler,Kepler CCD Array,,5712.0,1.64,,,653.6,12.8415,2018-09-06
Kepler-133 c,Kepler-133,1,2,0,2014,Kepler,Kepler CCD Array,31.51780202,5588.0,1.5,1.0,4.09,653.6,12.8415,2014-11-21
Kepler-1330 b,Kepler-1330,1,1,0,2016,Kepler,Kepler CCD Array,10.10769068,5608.0,0.94,0.97,4.48,1720.48,14.9451,2016-05-10
Kepler-1331 b,Kepler-1331,1,1,0,2016,Kepler,Kepler CCD Array,0.78916165,4508.0,0.69,0.72,4.63,319.197,15.0318,2016-05-10
Kepler-1332 b,Kepler-1332,1,1,0,2016,Kepler,Kepler CCD Array,11.87470071,5541.94,0.93,0.97,4.49,528.685,13.795,2019-04-18
Kepler-1333 b,Kepler-1333,1,1,0,2016,Kepler,Kepler CCD Array,109.64465727,5488.86,0.89,0.96,4.52,932.446,15.1714,2019-04-18
Kepler-1334 b,Kepler-1334,1,1,0,2016,Kepler,Kepler CCD Array,15.64591713,5896.0,0.92,1.01,4.52,1223.04,15.171,2014-11-18
Kepler-1335 b,Kepler-1335,1,1,0,2016,Kepler,Kepler CCD Array,6.26406846,5032.0,0.82,0.79,4.51,621.853,15.3037,2015-08-25
Kepler-1336 b,Kepler-1336,1,2,0,2016,Kepler,Kepler CCD Array,23.198681,5512.0,1.3,0.94,4.18,1126.64,14.0381,2016-05-10
Kepler-1336 c,Kepler-1336,1,2,0,2016,Kepler,Kepler CCD Array,5.77721259,5416.0,1.76,1.0,3.95,1126.64,14.0381,2017-05-08
Kepler-1337 b,Kepler-1337,1,1,0,2016,Kepler,Kepler CCD Array,24.4002549,4583.0,0.67,0.67,4.61,601.629,15.8169,2014-11-21
Kepler-1338 b,Kepler-1338,1,1,0,2016,Kepler,Kepler CCD Array,0.93511806,6002.0,1.09,1.01,4.36,753.26,13.5742,2014-11-21
Kepler-1339 b,Kepler-1339,1,1,0,2016,Kepler,Kepler CCD Array,,5874.0,1.26,,,371.049,12.1235,2018-09-06
Kepler-134 b,Kepler-134,1,2,0,2014,Kepler,Kepler CCD Array,5.317435,5936.0,1.03,1.01,4.41,334.797,12.2219,2013-10-28
Kepler-134 c,Kepler-134,1,2,0,2014,Kepler,Kepler CCD Array,,5918.0,0.98,,,334.797,12.2219,2018-09-06
Kepler-1340 b,Kepler-1340,1,1,0,2016,Kepler,Kepler CCD Array,0.66502709,6014.0,1.02,1.11,4.47,981.779,14.7546,2019-04-18
Kepler-1341 b,Kepler-1341,2,1,0,2016,Kepler,Kepler CCD Array,132.9968322,4662.0,0.72,0.79,4.62,476.957,15.0181,2016-05-10
Kepler-1342 b,Kepler-1342,1,1,0,2016,Kepler,Kepler CCD Array,2.21571296,5250.0,0.9,0.9,4.49,890.724,15.3835,2018-09-25
Kepler-1343 b,Kepler-1343,1,1,0,2016,Kepler,Kepler CCD Array,3.35183158,6208.0,1.01,1.07,4.46,1756.71,15.5297,2014-11-21
Kepler-1344 b,Kepler-1344,1,1,0,2016,Kepler,Kepler CCD Array,4.76826326,5841.28,1.16,1.05,4.33,853.959,14.0269,2016-07-28
Kepler-1345 b,Kepler-1345,1,1,0,2016,Kepler,Kepler CCD Array,44.6169557,6763.0,1.42,1.24,4.22,1355.02,13.705,2014-11-21
Kepler-1346 b,Kepler-1346,1,1,0,2016,Kepler,Kepler CCD Array,,6186.0,0.9,,,843.701,14.462,2018-09-06
Kepler-1347 b,Kepler-1347,1,1,0,2016,Kepler,Kepler CCD Array,14.00947528,5193.0,0.79,0.82,4.57,,13.4122,2016-05-10
Kepler-1348 b,Kepler-1348,1,1,0,2016,Kepler,Kepler CCD Array,27.5722144,5912.0,1.09,1.08,4.4,1213.82,14.6789,2017-05-08
Kepler-1349 b,Kepler-1349,1,1,0,2016,Kepler,Kepler CCD Array,2.12823928,5998.0,1.36,1.14,4.22,276.323,11.0821,2015-08-25
Kepler-135 b,Kepler-135,1,2,0,2014,Kepler,Kepler CCD Array,6.00253594,6251.0,1.35,1.25,4.28,621.855,12.6789,2016-05-10
Kepler-135 c,Kepler-135,1,2,0,2014,Kepler,Kepler CCD Array,11.44865823,5990.67,1.56,1.1,4.1,621.855,12.6789,2018-09-25
Kepler-1350 b,Kepler-1350,1,2,0,2016,Kepler,Kepler CCD Array,4.49685482,3786.0,0.53,0.53,4.71,340.691,16.2331,2016-07-28
Kepler-1350 c,Kepler-1350,1,2,0,2016,Kepler,Kepler CCD Array,,3698.0,0.53,,,340.691,16.2331,2018-09-06
Kepler-1351 b,Kepler-1351,1,1,0,2016,Kepler,Kepler CCD Array,0.91614077,4439.0,0.67,0.7,4.64,202.782,14.0866,2016-05-10
Kepler-1352 b,Kepler-1352,1,1,0,2016,Kepler,Kepler CCD Array,1.87788275,6324.0,1.13,1.02,4.34,670.829,13.2495,2015-08-25
Kepler-1353 b,Kepler-1353,1,1,0,2016,Kepler,Kepler CCD Array,24.7543966,4852.0,0.8,0.78,4.52,593.384,15.5059,2014-11-18
Kepler-1354 b,Kepler-1354,1,1,0,2016,Kepler,Kepler CCD Array,76.6147,6185.0,1.07,1.08,4.42,1119.45,14.3687,2013-10-28
