pl_name,hostname,No.of stars,No.of Planets,No.of Moons,Discovery year,Discovery facility,Discovery Instrument,Orbital Period,Stellar effective Temparature,Stellar radius,Stellar mass,Stellar surface gravity,distance,Gaia Magnitude,releasedate
K2-352 d,K2-352,1,3,0,2018,K2,Kepler CCD Array,14.869943,5930.0,0.92,,4.5,176.051,11.1147,2019-02-26
K2-353 b,K2-353,1,1,0,2021,K2,Kepler CCD Array,15.466805,5698.0,0.99,0.87,4.38,268.515,12.0988,2021-08-23
K2-354 b,K2-354,1,1,0,2016,K2,Kepler CCD Array,3.794,3510.0,0.42,0.42,4.81,91.722,14.3753,2016-07-18
K2-355 b,K2-355,1,1,0,2021,K2,Kepler CCD Array,5.7385647,5790.0,0.92,0.96,4.49,500.497,13.5297,2021-09-20
K2-356 b,K2-356,1,1,0,2021,K2,Kepler CCD Array,21.0267366,5568.0,0.86,0.9,4.52,355.54,13.148,2021-09-20
K2-357 b,K2-357,1,1,0,2021,K2,Kepler CCD Array,16.3488637,5794.0,1.0,0.98,4.43,517.687,13.4792,2021-09-20
K2-358 b,K2-358,1,1,0,2021,K2,Kepler CCD Array,11.2510285,5650.0,0.91,0.93,4.49,480.307,13.5733,2021-09-20
K2-36 b,K2-36,1,2,0,2016,K2,Kepler CCD Array,1.422647,4953.0,0.75,0.81,4.6,109.749,11.527,2016-07-18
K2-36 c,K2-36,1,2,0,2016,K2,Kepler CCD Array,5.3410507,4953.0,0.73,0.81,4.6,109.749,11.527,2022-08-23
K2-365 b,K2-365,1,1,0,2022,K2,Kepler CCD Array,23.44701,,1.11,,,187.222,11.5285,2019-09-05
K2-366 b,K2-366,1,1,0,2022,K2,Kepler CCD Array,15.93709,,0.73,,,185.947,12.1351,2019-09-05
K2-367 b,K2-367,1,1,0,2022,K2,Kepler CCD Array,20.645099,4348.0,0.62,0.76,4.73,176.965,13.3983,2022-03-16
K2-368 b,K2-368,1,3,0,2022,K2,Kepler CCD Array,5.02629,,0.58,,,206.608,13.2207,2019-09-05
K2-368 c,K2-368,1,3,0,2022,K2,Kepler CCD Array,9.65869,,0.58,,,206.608,13.2207,2019-09-05
K2-368 d,K2-368,1,3,0,2022,K2,Kepler CCD Array,20.201085,4663.0,0.66,0.75,4.67,206.608,13.2207,2022-03-16
K2-369 b,K2-369,1,1,0,2022,K2,Kepler CCD Array,5.7619248,5350.0,0.83,,,185.55,11.3732,2015-12-05
K2-37 b,K2-37,1,3,0,2016,K2,Kepler CCD Array,4.44118,5512.0,0.87,0.9,4.51,179.943,12.2573,2016-07-18
K2-37 c,K2-37,1,3,0,2016,K2,Kepler CCD Array,6.42904,5413.0,0.85,0.9,4.52,179.943,12.2573,2016-07-07
K2-37 d,K2-37,1,3,0,2016,K2,Kepler CCD Array,14.090907,4740.0,0.72,,,179.943,12.2573,2015-12-05
K2-370 b,K2-370,1,1,0,2022,K2,Kepler CCD Array,2.14084,5377.0,0.97,0.98,4.45,144.202,10.8824,2021-11-19
K2-371 b,K2-371,1,1,0,2022,K2,Kepler CCD Array,3.114878,,0.77,,,442.813,14.3938,2017-12-14
K2-372 b,K2-372,1,1,0,2022,K2,Kepler CCD Array,9.84413,,0.94,,,463.88,13.4436,2019-09-05
K2-373 b,K2-373,1,1,0,2022,K2,Kepler CCD Array,11.0213,,1.51,,,229.567,10.4244,2019-09-05
K2-374 b,K2-374,1,2,0,2022,K2,Kepler CCD Array,4.521953,5789.0,0.91,0.73,4.39,359.439,12.6473,2022-03-16
K2-374 c,K2-374,1,2,0,2022,K2,Kepler CCD Array,16.43445,5789.0,0.91,0.73,4.39,359.439,12.6473,2022-03-16
K2-375 b,K2-375,1,1,0,2022,K2,Kepler CCD Array,14.460563,5838.0,1.07,,4.32,696.1,12.9572,2018-02-15
K2-376 b,K2-376,1,1,0,2022,K2,Kepler CCD Array,5.776475,5937.0,1.15,0.91,4.28,161.61,10.2998,2022-03-16
K2-377 b,K2-377,1,1,0,2022,K2,Kepler CCD Array,12.83724862,4314.0,0.7,0.67,4.58,195.149,13.5859,2016-12-21
K2-378 b,K2-378,1,1,0,2022,K2,Kepler CCD Array,2.06,4854.0,0.74,0.79,4.6,687.973,15.5122,2016-07-18
K2-379 b,K2-379,1,1,0,2022,K2,Kepler CCD Array,8.7783,,0.69,,,182.207,12.8995,2019-09-05
K2-38 b,K2-38,1,2,0,2016,K2,Kepler CCD Array,4.01628,5758.0,1.12,1.08,4.36,192.69,11.184,2016-07-18
K2-38 c,K2-38,1,2,0,2016,K2,Kepler CCD Array,10.56103,5757.0,1.1,1.07,4.35,192.69,11.184,2016-07-07
K2-380 b,K2-380,1,1,0,2022,K2,Kepler CCD Array,9.40172,,1.13,,,249.303,11.4419,2019-09-05
K2-381 b,K2-381,1,3,0,2022,K2,Kepler CCD Array,7.9389334,4473.0,0.68,0.75,4.65,145.701,12.6373,2022-03-16
K2-381 c,K2-381,1,3,0,2022,K2,Kepler CCD Array,16.035054,4661.0,0.65,,4.66,145.701,12.6373,2018-02-15
K2-381 d,K2-381,1,3,0,2022,K2,Kepler CCD Array,26.804998,4661.0,0.65,,4.66,145.701,12.6373,2018-02-15
K2-382 b,K2-382,1,1,0,2022,K2,Kepler CCD Array,21.697619,5570.0,0.88,,4.61,278.412,12.7667,2018-02-15
K2-383 b,K2-383,1,1,0,2022,K2,Kepler CCD Array,1.865979,5231.0,0.83,,4.68,203.788,12.4429,2018-02-15
K2-384 b,K2-384,1,5,0,2022,K2,Kepler CCD Array,2.231527,3623.0,0.35,0.33,4.87,82.6603,15.0276,2022-03-16
K2-384 c,K2-384,1,5,0,2022,K2,Kepler CCD Array,4.19525,,0.26,,,82.6603,15.0276,2019-09-05
K2-384 d,K2-384,1,5,0,2022,K2,Kepler CCD Array,6.6791,,0.26,,,82.6603,15.0276,2019-09-05
K2-384 e,K2-384,1,5,0,2022,K2,Kepler CCD Array,9.71601,,0.26,,,82.6603,15.0276,2019-09-05
K2-384 f,K2-384,1,5,0,2022,K2,Kepler CCD Array,13.62749,3623.0,0.35,0.33,4.87,82.6603,15.0276,2022-03-16
K2-385 b,K2-385,1,1,0,2022,K2,Kepler CCD Array,2.38098,,0.73,,,420.819,14.3355,2019-09-05
K2-386 b,K2-386,1,1,0,2022,K2,Kepler CCD Array,7.47372,5592.0,1.01,,,428.785,12.9931,2019-09-19
K2-387 b,K2-387,1,1,0,2022,K2,Kepler CCD Array,28.735327,3572.0,0.58,0.57,4.66,266.318,15.4948,2022-03-16
K2-388 b,K2-388,1,1,0,2022,K2,Kepler CCD Array,6.339069,5367.0,0.9,0.84,4.46,290.495,12.6357,2022-03-16
K2-389 b,K2-389,1,2,0,2022,K2,Kepler CCD Array,8.583566,5782.0,1.08,0.8,4.27,259.208,11.5697,2021-11-19
K2-389 c,K2-389,1,2,0,2022,K2,Kepler CCD Array,20.851337,5782.0,1.08,0.8,4.27,259.208,11.5697,2021-11-19
K2-39 b,K2-39,1,1,0,2016,K2,Kepler CCD Array,4.60543,4881.0,2.97,0.66,3.44,307.47,10.5959,2018-04-26
K2-390 b,K2-390,1,1,0,2022,K2,Kepler CCD Array,3.312792,5558.0,0.97,0.79,4.37,456.122,13.3434,2022-03-16
K2-391 b,K2-391,1,1,0,2022,K2,Kepler CCD Array,4.622654,5543.0,0.57,0.76,4.97,507.94,12.3302,2021-11-19
K2-392 b,K2-392,1,1,0,2022,K2,Kepler CCD Array,15.398723,5726.0,1.06,0.84,4.31,406.985,12.6795,2022-03-16
K2-393 b,K2-393,1,1,0,2022,K2,Kepler CCD Array,10.41144,5540.0,1.12,,,265.914,11.7768,2019-09-19
K2-394 b,K2-394,1,1,0,2022,K2,Kepler CCD Array,5.095717,4938.0,0.63,0.48,4.51,98.0152,12.2095,2022-03-16
K2-395 b,K2-395,1,2,0,2022,K2,Kepler CCD Array,4.803352,5007.0,0.78,0.95,4.63,286.727,14.1559,2022-03-16
K2-395 c,K2-395,1,2,0,2022,K2,Kepler CCD Array,8.491282,5007.0,0.78,0.95,4.63,286.727,14.1559,2022-03-16
K2-396 b,K2-396,1,2,0,2022,K2,Kepler CCD Array,0.673862,5236.0,0.92,0.95,4.49,274.864,12.9345,2022-03-16
K2-396 c,K2-396,1,2,0,2022,K2,Kepler CCD Array,25.76051,5236.0,0.92,0.95,4.49,274.864,12.9345,2022-03-16
K2-397 b,K2-397,1,1,0,2022,K2,Kepler CCD Array,3.572326,5387.0,0.97,0.94,4.43,199.354,11.6421,2022-03-16
K2-398 b,K2-398,1,2,0,2022,K2,Kepler CCD Array,6.393025,5946.0,1.24,0.94,4.23,606.992,13.0091,2022-03-16
K2-398 c,K2-398,1,2,0,2022,K2,Kepler CCD Array,18.787839,5946.0,1.24,0.94,4.23,606.992,13.0091,2022-03-16
K2-4 b,K2-4,1,1,0,2015,K2,Kepler CCD Array,10.003417,4014.73,0.57,0.64,,231.828,14.3403,2017-10-26
K2-400 b,K2-400,1,1,0,2022,K2,Kepler CCD Array,3.865053,3578.0,0.38,0.37,4.85,62.3804,13.9899,2021-11-19
K2-401 b,K2-401,1,1,0,2022,K2,Kepler CCD Array,6.293099,4213.0,0.68,0.87,4.72,200.727,13.6941,2021-11-19
K2-402 b,K2-402,1,1,0,2022,K2,Kepler CCD Array,17.27474,5716.0,1.28,0.94,4.2,523.055,12.836,2022-03-16
K2-403 b,K2-403,1,1,0,2022,K2,Kepler CCD Array,33.589979,5511.0,0.89,0.78,4.44,246.599,12.152,2022-03-16
K2-404 b,K2-404,1,1,0,2022,K2,Kepler CCD Array,13.115365,3748.0,0.55,0.55,4.7,121.63,13.8429,2022-03-16
K2-405 b,K2-405,1,1,0,2022,K2,Kepler CCD Array,3.4355113,4870.0,0.8,,4.53,197.234,12.5911,2022-08-09
K2-406 b,K2-406,1,1,0,2022,K2,Kepler CCD Array,22.549406,5784.0,0.96,0.8,4.37,85.3751,9.49379,2022-03-16
K2-407 b,K2-407,1,2,0,2022,K2,Kepler CCD Array,4.941907,5563.0,0.93,0.88,4.45,218.376,11.9956,2021-11-19
K2-407 c,K2-407,1,2,0,2022,K2,Kepler CCD Array,9.22453,5563.0,0.93,0.88,4.45,218.376,11.9956,2021-11-19
K2-408 b,K2-408,1,1,0,2022,K2,Kepler CCD Array,20.978959,5335.0,0.78,0.81,4.56,162.306,11.7345,2021-11-19
K2-409 b,K2-409,1,1,0,2022,K2,Kepler CCD Array,1.908084,5742.0,1.23,0.89,4.2,431.031,12.6144,2021-11-19
K2-411 b,K2-411,1,1,0,2022,K2,Kepler CCD Array,3.2141,5711.0,1.38,1.02,4.17,298.219,11.9872,2022-11-07
K2-412 b,K2-412,1,1,0,2022,K2,Kepler CCD Array,5.9382,5590.0,0.98,0.89,4.41,654.085,15.1491,2022-11-07
K2-413 b,K2-413,1,2,0,2022,K2,Kepler CCD Array,0.8094,4116.0,0.7,0.81,4.66,285.162,14.5773,2022-11-07
K2-413 c,K2-413,1,2,0,2022,K2,Kepler CCD Array,5.3301,4116.0,0.7,0.81,4.66,285.162,14.5773,2022-11-07
K2-414 b,K2-414,1,2,0,2022,K2,Kepler CCD Array,4.3696,4343.0,0.73,0.81,4.62,260.036,13.9384,2022-11-07
K2-414 c,K2-414,1,2,0,2022,K2,Kepler CCD Array,6.669,4343.0,0.73,0.81,4.62,260.036,13.9384,2022-11-07
K2-415 b,K2-415,1,1,0,2023,K2,Kepler CCD Array,4.01798054,3166.0,0.19,,5.07,21.8182,13.7957,2024-06-10
K2-416 b,K2-416,1,1,0,2023,K2,Kepler CCD Array,13.102,3746.0,0.55,0.55,4.69,120.311,13.9468,2023-07-10
K2-417 b,K2-417,1,1,0,2023,K2,Kepler CCD Array,6.535,3861.0,0.58,0.57,4.67,94.0424,13.1533,2023-07-10
K2-419 A b,K2-419 A,2,1,0,2024,K2,Kepler CCD Array,20.358748,,0.53,,,268.685,15.7336,2017-12-14
K2-42 b,K2-42,1,1,0,2016,K2,Kepler CCD Array,6.68796,4613.0,0.64,0.7,4.66,396.913,14.6336,2016-07-18
K2-43 b,K2-43,1,2,0,2016,K2,Kepler CCD Array,3.47114,3939.0,0.57,0.6,4.7,182.536,14.8215,2016-07-18
K2-43 c,K2-43,1,2,0,2019,K2,Kepler CCD Array,2.19945,,0.61,,,182.536,14.8215,2019-09-05
K2-44 b,K2-44,1,1,0,2016,K2,Kepler CCD Array,5.657,5912.0,1.58,1.15,4.1,476.703,12.0238,2020-11-19
K2-45 b,K2-45,1,1,0,2016,K2,Kepler CCD Array,1.7292591,4271.0,0.66,,,495.317,15.3442,2015-12-05
K2-46 b,K2-46,1,1,0,2016,K2,Kepler CCD Array,19.153765,6234.0,1.32,,,449.237,11.9153,2015-12-05
K2-47 b,K2-47,1,1,0,2016,K2,Kepler CCD Array,31.6551,,0.77,,,349.881,13.7404,2019-09-05
K2-48 b,K2-48,1,1,0,2016,K2,Kepler CCD Array,20.5107,,0.66,,,313.764,13.9677,2019-09-05
K2-49 b,K2-49,1,1,0,2016,K2,Kepler CCD Array,2.770522,,0.7,,,457.125,15.2444,2019-09-05
K2-5 b,K2-5,1,2,0,2015,K2,Kepler CCD Array,5.73491,4102.0,0.52,0.53,,202.943,14.339,2015-07-16
K2-5 c,K2-5,1,2,0,2015,K2,Kepler CCD Array,10.93459,,0.53,,,202.943,14.339,2019-09-05
K2-50 b,K2-50,1,2,0,2016,K2,Kepler CCD Array,8.7529,4326.0,0.55,0.61,4.74,257.443,14.2575,2016-07-18
K2-52 b,K2-52,1,1,0,2016,K2,Kepler CCD Array,3.535055,7147.0,2.19,1.69,3.98,1038.41,15.2553,2019-01-31
K2-53 b,K2-53,1,1,0,2016,K2,Kepler CCD Array,12.20772,5263.0,0.81,0.85,4.55,138.018,12.1478,2019-01-31
K2-54 b,K2-54,1,1,0,2016,K2,Kepler CCD Array,9.7843,3798.0,0.38,0.42,4.89,174.955,13.9449,2016-07-18
K2-55 b,K2-55,1,1,0,2016,K2,Kepler CCD Array,2.849258,4456.0,0.63,0.7,4.67,159.522,13.0624,2016-07-18
K2-57 b,K2-57,1,1,0,2016,K2,Kepler CCD Array,9.0074,,0.6,,,264.213,14.1038,2019-09-05
K2-58 b,K2-58,1,3,0,2016,K2,Kepler CCD Array,7.05235,,0.84,,,181.746,12.1319,2019-09-05
K2-58 c,K2-58,1,3,0,2016,K2,Kepler CCD Array,2.5370422,4998.0,0.76,,,181.746,12.1319,2015-12-05
K2-58 d,K2-58,1,3,0,2016,K2,Kepler CCD Array,22.882,,0.84,,,181.746,12.1319,2019-09-05
K2-59 b,K2-59,1,2,0,2016,K2,Kepler CCD Array,20.698453,4775.0,0.73,,,311.313,13.9395,2015-12-05
K2-59 c,K2-59,1,2,0,2016,K2,Kepler CCD Array,11.29665,,0.64,,,311.313,13.9395,2019-09-05
K2-6 b,K2-6,1,1,0,2015,K2,Kepler CCD Array,30.9403,,0.86,,,316.819,12.5018,2019-09-05
K2-60 b,K2-60,1,1,0,2016,K2,Kepler CCD Array,3.002654,,1.52,,,491.87,12.6108,2019-09-05
K2-61 b,K2-61,1,1,0,2016,K2,Kepler CCD Array,2.57275378,5718.0,1.0,1.02,4.45,405.732,12.8575,2016-12-21
K2-62 b,K2-62,1,2,0,2016,K2,Kepler CCD Array,6.6717686,4500.0,0.69,,,112.467,12.0433,2015-12-05
K2-62 c,K2-62,1,2,0,2016,K2,Kepler CCD Array,16.197189,4500.0,0.69,,,112.467,12.0433,2015-12-05
K2-63 b,K2-63,1,2,0,2016,K2,Kepler CCD Array,20.258209,5686.0,0.95,,,517.534,12.7269,2015-12-05
K2-63 c,K2-63,1,2,0,2016,K2,Kepler CCD Array,25.4556,6771.0,1.63,1.4,4.15,517.534,12.7269,2019-03-28
K2-64 b,K2-64,1,1,0,2016,K2,Kepler CCD Array,6.53044,5312.0,0.73,0.74,4.58,499.891,13.9146,2016-07-18
K2-65 b,K2-65,1,1,0,2016,K2,Kepler CCD Array,12.65309622,,,,,,,2016-12-21
K2-66 b,K2-66,1,1,0,2016,K2,Kepler CCD Array,5.06963,5887.0,1.67,1.11,4.03,513.877,11.9961,2019-07-25
K2-68 b,K2-68,1,1,0,2016,K2,Kepler CCD Array,8.0549321,4720.0,0.72,,,168.652,12.6573,2015-12-05
K2-69 b,K2-69,1,1,0,2016,K2,Kepler CCD Array,7.0658874,4059.0,0.61,,,180.697,15.0572,2015-12-05
K2-7 b,K2-7,1,1,0,2015,K2,Kepler CCD Array,28.6777,5715.0,2.13,1.05,3.82,738.553,13.0573,2016-07-18
K2-70 b,K2-70,1,1,0,2016,K2,Kepler CCD Array,13.97896,5622.0,0.93,0.94,4.48,232.964,12.7782,2016-07-18
K2-71 b,K2-71,1,1,0,2016,K2,Kepler CCD Array,6.98541,4006.0,0.43,0.48,4.85,153.192,15.1887,2016-07-18
K2-72 b,K2-72,1,4,0,2016,K2,Kepler CCD Array,5.57739,3497.0,0.23,0.22,5.05,66.4321,14.2789,2016-07-18
K2-72 c,K2-72,1,4,0,2016,K2,Kepler CCD Array,15.189034,3360.47,0.33,0.27,,66.4321,14.2789,2017-10-26
K2-72 d,K2-72,1,4,0,2016,K2,Kepler CCD Array,7.760178,3360.47,0.33,0.27,,66.4321,14.2789,2017-10-26
K2-72 e,K2-72,1,4,0,2016,K2,Kepler CCD Array,24.158868,3360.47,0.33,0.27,,66.4321,14.2789,2017-10-26
K2-73 b,K2-73,1,1,0,2016,K2,Kepler CCD Array,7.49569,,1.08,,,269.183,11.7146,2019-09-05
K2-74 b,K2-74,1,1,0,2016,K2,Kepler CCD Array,19.565557,5929.0,1.09,0.99,4.24,377.822,12.4364,2018-02-15
K2-75 b,K2-75,1,2,0,2016,K2,Kepler CCD Array,7.8142,5995.0,1.56,1.16,4.12,561.93,12.5886,2016-07-18
K2-75 c,K2-75,1,2,0,2016,K2,Kepler CCD Array,18.311,5995.0,1.56,1.16,4.12,561.93,12.5886,2016-07-18
K2-77 b,K2-77,1,1,0,2016,K2,Kepler CCD Array,8.199814,5070.0,0.78,0.85,4.67,141.731,11.9202,2018-02-15
K2-79 b,K2-79,1,1,0,2016,K2,Kepler CCD Array,10.993948,5839.0,1.04,1.06,4.41,256.011,11.8031,2018-02-15
K2-8 b,K2-8,1,2,0,2015,K2,Kepler CCD Array,10.35848367,4779.0,0.77,0.77,4.55,403.513,14.3358,2016-12-21
K2-8 c,K2-8,1,2,0,2016,K2,Kepler CCD Array,5.0639064,4797.0,0.73,,,403.513,14.3358,2015-12-05
K2-80 b,K2-80,1,3,0,2016,K2,Kepler CCD Array,19.09995,5377.0,0.84,0.91,4.65,200.802,12.377,2018-02-15
K2-80 c,K2-80,1,3,0,2016,K2,Kepler CCD Array,5.605,5441.0,0.87,0.9,4.52,200.802,12.377,2016-07-18
K2-80 d,K2-80,1,3,0,2018,K2,Kepler CCD Array,28.867253,5377.0,0.84,0.91,4.65,200.802,12.377,2018-02-15
K2-81 b,K2-81,1,1,0,2016,K2,Kepler CCD Array,6.10224,4530.0,0.63,0.7,4.67,252.318,13.9043,2016-07-18
K2-83 b,K2-83,1,2,0,2016,K2,Kepler CCD Array,2.747128,,0.42,,,125.529,13.8042,2019-09-05
K2-83 c,K2-83,1,2,0,2016,K2,Kepler CCD Array,9.99767,3910.0,0.42,0.48,4.86,125.529,13.8042,2016-07-18
K2-84 b,K2-84,1,2,0,2016,K2,Kepler CCD Array,6.4215,5652.0,0.93,0.95,4.48,284.876,13.1474,2016-07-18
K2-84 c,K2-84,1,2,0,2016,K2,Kepler CCD Array,27.8522,,0.84,,,284.876,13.1474,2019-09-05
K2-85 b,K2-85,1,1,0,2016,K2,Kepler CCD Array,0.684557,4376.21,0.68,0.7,,97.2179,12.06,2017-10-26
K2-86 b,K2-86,1,1,0,2016,K2,Kepler CCD Array,8.77709,,0.8,,,258.699,12.7978,2019-09-05
K2-87 b,K2-87,1,1,0,2016,K2,Kepler CCD Array,9.72665,5583.6,1.45,,4.11,491.242,13.7078,2024-01-05
K2-88 b,K2-88,1,1,0,2016,K2,Kepler CCD Array,4.6122,3537.0,0.26,0.26,5.02,110.561,14.5451,2016-07-18
K2-89 b,K2-89,1,1,0,2016,K2,Kepler CCD Array,1.095979,3677.0,0.54,0.53,4.71,86.0386,13.3216,2017-10-26
K2-9 b,K2-9,1,1,0,2015,K2,Kepler CCD Array,18.4498,3390.0,0.31,0.3,,82.9631,14.8665,2016-01-21
K2-90 b,K2-90,1,2,0,2016,K2,Kepler CCD Array,13.734907,4421.98,0.63,0.7,,134.188,13.2292,2017-10-26
K2-90 c,K2-90,1,2,0,2016,K2,Kepler CCD Array,2.90022,,0.65,,,134.188,13.2292,2019-09-05
K2-91 b,K2-91,1,1,0,2016,K2,Kepler CCD Array,1.419549,3622.0,0.28,0.29,5.0,62.5785,14.3219,2016-07-18
K2-95 b,K2-95,1,1,0,2016,K2,Kepler CCD Array,10.13389,3471.0,0.4,0.36,,179.854,16.0836,2016-09-08
K2-97 b,K2-97,1,1,0,2016,K2,Kepler CCD Array,8.4071591,4642.6,4.71,,,878.43,12.3059,2024-02-05
K2-98 b,K2-98,1,1,0,2016,K2,Kepler CCD Array,10.136527,,1.39,,,518.625,12.0398,2017-12-14
K2-99 b,K2-99,1,1,0,2016,K2,Kepler CCD Array,18.24841,,2.71,,,519.229,10.9485,2019-09-05
KELT-1 b,KELT-1,1,1,0,2012,KELT,Apogee 4K CCD Sensor,1.217494,6596.04,1.46,1.38,4.25,268.43,10.5905,2018-02-15
KELT-10 b,KELT-10,1,1,0,2016,KELT-South,Apogee 4K CCD Sensor,4.16612653,5883.0,1.16,,4.34,188.404,10.7009,2023-10-09
KELT-11 b,KELT-11,1,1,0,2017,KELT-South,Apogee 4K CCD Sensor,4.73626,5326.0,2.83,1.46,3.74,99.1596,7.83112,2018-12-06
KELT-12 b,KELT-12,1,1,0,2017,KELT-North,Apogee 4K CCD Sensor,5.0316347,6350.0,2.16,,3.87,368.03,10.4842,2024-08-30
KELT-14 b,KELT-14,1,1,0,2016,KELT-South,Apogee 4K CCD Sensor,1.7100122,5720.0,1.51,,4.17,250.121,10.8384,2023-04-10
KELT-15 b,KELT-15,2,1,0,2016,KELT-South,Apogee 4K CCD Sensor,3.329475,6003.0,1.48,1.18,4.17,324.683,11.0694,2022-01-24
KELT-16 b,KELT-16,2,1,0,2017,KELT,Apogee 4K CCD Sensor,0.96899328,6236.0,1.36,1.21,4.25,444.586,11.7959,2022-01-24
KELT-17 b,KELT-17,1,1,0,2016,KELT,Multiple Instruments,3.0801833,7511.0,1.7,,4.21,226.5,9.20887,2024-01-05
KELT-18 b,KELT-18,2,1,0,2017,KELT-North,Apogee 4K CCD Sensor,2.8716978,6840.0,1.91,,4.05,321.376,10.1036,2024-05-20
KELT-19 A b,KELT-19 A,2,1,0,2017,KELT,Multiple Instruments,4.6117328,7346.0,1.67,,4.14,300.276,9.86331,2022-08-08
KELT-2 A b,KELT-2 A,2,1,0,2012,KELT,Apogee 4K CCD Sensor,4.1137912,6151.0,1.83,1.31,,134.058,8.58393,2014-05-14
KELT-20 b,KELT-20,1,1,0,2017,KELT-North,Apogee 4K CCD Sensor,3.47410024,,,,,136.426,7.57492,2022-10-18
KELT-21 b,KELT-21,1,1,0,2018,KELT-North,Apogee 4K CCD Sensor,3.6127691,,,,,470.878,10.5415,2022-10-18
KELT-23 A b,KELT-23 A,2,1,0,2019,KELT-North,Apogee 4K CCD Sensor,2.25528739,,,,,126.261,10.182,2022-10-18
KELT-24 b,KELT-24,2,1,0,2019,KELT-North,Apogee 4K CCD Sensor,5.5514926,6509.0,1.51,1.46,4.25,96.5173,8.23752,2019-09-12
KELT-3 b,KELT-3,2,1,0,2013,KELT,Apogee 4K CCD Sensor,2.7033942,6518.0,1.61,,4.15,210.252,9.76324,2022-08-08
KELT-4 A b,KELT-4 A,3,1,0,2016,KELT,Apogee 4K CCD Sensor,2.9895092,6317.0,1.61,,4.12,218.05,9.95702,2022-08-09
KELT-6 b,KELT-6,1,2,0,2014,KELT,Apogee 4K CCD Sensor,7.8457,6102.0,1.73,1.42,4.07,240.726,10.1934,2018-04-26
KELT-6 c,KELT-6,1,2,0,2015,Multiple Observatories,Multiple Instruments,1276.0,6272.0,1.53,1.13,4.12,240.726,10.1934,2015-09-03
KELT-7 b,KELT-7,1,1,0,2015,KELT,Apogee 4K CCD Sensor,2.73476539,,,,,136.681,8.45173,2022-10-18
KELT-8 b,KELT-8,1,1,0,2015,KELT,Apogee 4K CCD Sensor,3.2440796,5703.0,1.39,1.02,4.16,197.572,10.6699,2019-08-15
KELT-9 b,KELT-9,2,1,0,2017,KELT-North,Apogee 4K CCD Sensor,1.48111871,,,,,204.455,7.57675,2022-10-18
KIC 10001893 b,KIC 10001893,1,3,0,2014,Kepler,Kepler CCD Array,0.2197,27500.0,,,5.35,1672.94,15.7109,2014-10-03
KIC 10001893 c,KIC 10001893,1,3,0,2014,Kepler,Kepler CCD Array,0.32528,27500.0,,,5.35,1672.94,15.7109,2014-10-03
KIC 10001893 d,KIC 10001893,1,3,0,2014,Kepler,Kepler CCD Array,0.81161,27500.0,,,5.35,1672.94,15.7109,2014-10-03
KIC 10068024 b,KIC 10068024,1,1,0,2021,Kepler,Kepler CCD Array,2.073549,6118.4,1.57,1.22,4.09,721.105,13.1059,2021-08-10
KIC 10525077 b,KIC 10525077,1,1,0,2015,Kepler,Kepler CCD Array,854.083,6091.0,1.01,1.01,4.42,1461.15,15.3043,2016-01-05
KIC 3526061 b,KIC 3526061,1,1,0,2022,McDonald Observatory,Tull Coude Spectrograph,3552.0,4829.0,5.86,1.42,3.09,401.229,9.99106,2022-10-10
KIC 3558849 b,KIC 3558849,1,1,0,2015,Kepler,Kepler CCD Array,1322.3,6175.0,1.01,0.98,4.44,1215.7,14.1674,2016-01-05
KIC 5437945 b,KIC 5437945,1,2,0,2015,Kepler,Kepler CCD Array,440.7843755,5976.19,1.95,1.1,3.9,1274.01,13.7506,2018-09-25
KIC 5479689 b,KIC 5479689,1,1,0,2021,Kepler,Kepler CCD Array,1.701531,5459.1,0.89,0.97,4.52,454.95,13.7459,2021-08-10
KIC 7917485 b,KIC 7917485,1,1,0,2016,Kepler,Kepler CCD Array,840.0,7067.0,,1.63,4.0,1382.89,13.1092,2016-08-18
KIC 8121913 b,KIC 8121913,1,1,0,2021,Kepler,Kepler CCD Array,3.294601,5975.3,2.23,1.46,3.9,707.303,12.3034,2021-08-10
KIC 8540376 b,KOI-7892,1,3,0,2015,Kepler,Kepler CCD Array,31.8099,6474.0,1.26,1.04,4.31,1072.3,14.2165,2016-01-05
KIC 8540376 c,KOI-7892,1,3,0,2015,Kepler,Kepler CCD Array,75.2,6474.0,1.26,1.04,4.31,1072.3,14.2165,2016-01-05
KIC 9663113 b,KIC 9663113,1,2,0,2015,Kepler,Kepler CCD Array,,6218.0,2.22,,,1594.74,13.9075,2018-09-06
KMT-2016-BLG-0212L b,KMT-2016-BLG-0212L,1,1,0,2018,KMTNet,18k Mosaic CCD camera,,,,0.48,,6300.0,,2019-09-12
KMT-2016-BLG-1105L b,KMT-2016-BLG-1105L,1,1,0,2023,KMTNet,18k Mosaic CCD camera,,,,0.43,,5420.0,,2023-02-17
KMT-2016-BLG-1107L b,KMT-2016-BLG-1107L,1,1,0,2019,KMTNet,18k Mosaic CCD camera,,,,0.02,,7481.0,,2019-12-05
KMT-2016-BLG-1397L b,KMT-2016-BLG-1397L,1,1,0,2018,KMTNet,18k Mosaic CCD camera,,,,,,,,2019-12-05
KMT-2016-BLG-1820L b,KMT-2016-BLG-1820L,1,1,0,2018,KMTNet,18k Mosaic CCD camera,,,,0.04,,6260.0,,2018-11-08
